url,headline_minimal,true_source,pred_source
https://nbcnews.com/politics/politics-news/jan-6-committee-subpoenas-two-far-right-activists-n1287747,Jan. 6 committee subpoenas two far right activists,NBC,FoxNews
https://nbcnews.com/sports/olympics/olympics-2024-tiktok-viral-why-i-didnt-make-it-joke-videos-rcna165198,People online are joking about why they weren't chosen for the Olympic team in new viral trend,NBC,FoxNews
https://nbcnews.com/politics/politics-news/dc-ethics-board-recommends-rudy-giuliani-disbarred-rcna155036,D.C. ethics board recommends Rudy Giuliani be disbarred,NBC,FoxNews
https://nbcnews.com/news/us-news/toddler-clears-moms-online-shopping-cart-orders-2k-items-walmart-rcna13172,"Toddler clears out mom's online shopping cart, orders $2,000 worth of items from Walmart",NBC,FoxNews
https://nbcnews.com/politics/congress/pelosis-departure-ushers-long-awaited-generational-change-democrats-rcna57797,Pelosi's departure ushers in long-awaited generational change for Democrats,NBC,FoxNews
https://foxnews.com/opinion/judge-judy-for-supreme-court,Judge Judy for Supreme Court,FoxNews,NBC
https://nbcnews.com/pop-culture/pop-culture-news/ben-affleck-talks-6000-sneakers-son-wanted-kids-jobs-rcna202459,"Ben Affleck talks about the $6,000 sneakers his son wanted and why his kids have jobs",NBC,FoxNews
https://nbcnews.com/news/us-news/new-orleans-sanctuary-city-state-support-immigration-enforcement-rcna247428,"In New Orleans, a sanctuary city's policies are being tested in a state that supports immigration enforcement",NBC,FoxNews
https://nbcnews.com/data-graphics/data-shows-wine-decline-consumers-spending-less-drinking-less-rcna187628,Wine sales drying up as Americans turn elsewhere,NBC,FoxNews
https://foxnews.com/media/undecided-voters-say-timing-trump-indictments-politically-motivated-doesnt-seem-fair,Undecided voters say 'timing' of Trump indictments is 'politically motivated': 'Doesn't seem fair at all',FoxNews,NBC
https://nbcnews.com/politics/congress/house-tuesday-vote-end-government-shutdown-reopen-trump-rcna256782,House eyes Tuesday vote to reopen the government and end brief shutdown,NBC,FoxNews
https://nbcnews.com/news/sports/chiefs-remain-chiefs-vikings-bucs-pull-upsets-week-2-nfl-season-rcna171226,"The Chiefs remain the Chiefs, Vikings and Bucs pull upsets and more from Week 2 of the NFL season",NBC,FoxNews
https://foxnews.com/us/two-teens-arrested-after-15-year-old-shot-near-washington-dcs-union-station,"Two teens arrested after 15-year-old shot near Washington, DC's Union Station",FoxNews,NBC
https://foxnews.com/world/qantas-rebounds-from-record-2-6-billion-full-year-loss-to-post-162-million-half-year-profit,Qantas rebounds from record $2.6 billion full-year loss to post $162 million half-year profit,FoxNews,NBC
https://nbcnews.com/science/space/nasa-astronauts-stuck-space-station-will-return-spacex-rcna167164,"NASA says astronauts stuck in space will not return on Boeing capsule, will wait for SpaceX craft",NBC,FoxNews
https://nbcnews.com/sports/ilona-maher-everyones-favorite-olympian-tiktok-rcna164024,Ilona Maher is everyone's favorite Olympian on TikTok,NBC,FoxNews
https://nbcnews.com/politics/2024-election/far-convention-democrat-runs-harris-hands-beer-rural-maine-rcna165606,"Far from the convention, a Democrat runs from Harris and hands out beer in rural Maine",NBC,FoxNews
https://nbcnews.com/news/us-news/tonight-someones-lucky-night-powerball-jackpot-record-19b-rcna55963,"Powerball jackpot up to a dizzying, world record $1.9B as drawing delayed again",NBC,FoxNews
https://nbcnews.com/news/us-news/dead-body-discovered-passenger-seat-driver-said-damage-was-hitting-ani-rcna130311,Dead body discovered in passenger seat after driver said damage was from hitting animal,NBC,FoxNews
https://nbcnews.com/news/us-news/george-floyd-medaria-arradondo-rcna208893,Ex-Minneapolis police chief recalls 'absolutely gut-wrenching' moment of seeing George Floyd video,NBC,FoxNews
